,train_epoch,train_loss,train_accuracy,val_epoch,val_loss,val_accuracy
0,0,0.47127845613300706,0.32114467408585057,0,0.46264124241205723,0.35148514851485146
1,1,0.4219936676358949,0.35135135135135137,1,0.4361925572156906,0.37376237623762376
2,2,0.40497513482604763,0.4165341812400636,2,0.4578453519999391,0.37623762376237624
3,3,0.39656248267011535,0.4189189189189189,3,0.4162726872923351,0.4405940594059406
4,4,0.3928875558800841,0.43084260731319557,4,0.4251559379667339,0.4034653465346535
5,5,0.3745184411636786,0.4538950715421304,5,0.40391864472686656,0.43316831683168316
6,6,0.36543922379778754,0.4785373608903021,6,0.37093818290989,0.4752475247524752
7,7,0.35172300834344944,0.47058823529411764,7,0.42903189626660676,0.43316831683168316
8,8,0.34747572031186,0.5063593004769475,8,0.36087283108494067,0.5123762376237624
9,9,0.3336908913710538,0.5222575516693164,9,0.3828405172813057,0.4381188118811881
10,10,0.3224856275324791,0.5325914149443561,10,0.3368213639253437,0.5371287128712872
11,11,0.31334265993111465,0.5429252782193958,11,0.3751612514404967,0.5
12,12,0.3066693655139691,0.5635930047694754,12,0.3390592046745933,0.5198019801980198
13,13,0.29090665883735556,0.5786963434022258,13,0.34832205402083916,0.4777227722772277
14,14,0.2860975092919529,0.5874403815580286,14,0.35191916987890065,0.5495049504950495
15,15,0.283005855308286,0.5977742448330684,15,0.32364289060530094,0.5742574257425742
16,16,0.2747500543978616,0.581081081081081,16,0.3095966235614649,0.5470297029702971
17,17,0.259396165168129,0.615262321144674,17,0.3104873455618278,0.556930693069307
18,18,0.2528719823564653,0.6351351351351351,18,0.34817039206771566,0.5420792079207921
19,19,0.2450337772019243,0.6263910969793323,19,0.3119022726901982,0.5866336633663366
