,train_epoch,train_loss,train_accuracy,val_epoch,val_loss,val_accuracy
0,0,0.13150553191468742,0.778125,0,0.08579918294708477,0.8421875
1,1,0.10144769327501611,0.8395833333333333,1,0.07441581025091182,0.8640625
2,2,0.08593488983994273,0.8682291666666667,2,0.12042046162910083,0.7609375
3,3,0.07727532926752853,0.8802083333333334,3,0.08052051795721127,0.853125
4,4,0.06759538501501083,0.9005208333333333,4,0.08563580055640614,0.8578125
5,5,0.05479975773026429,0.9276041666666667,5,0.08780005147259544,0.85
6,6,0.04239833856760621,0.9401041666666666,6,0.10939803555799159,0.8375
7,7,0.03922981611443296,0.9385416666666667,7,0.1272309024530145,0.8546875
8,8,0.026664740991554935,0.965625,8,0.10806010214877346,0.846875
9,9,0.035648014359170095,0.9510416666666667,9,0.1550065835588043,0.79375
10,10,0.02650409328513585,0.9640625,10,0.1799325161009513,0.8109375
11,11,0.012955429228247795,0.9817708333333334,11,0.1429442064710429,0.815625
12,12,0.016757168130023578,0.978125,12,0.20553379836602198,0.853125
13,13,0.02539987482679559,0.9651041666666667,13,0.14126445929548623,0.8515625
14,14,0.009330232375833702,0.9864583333333333,14,0.13662391400665458,0.8546875
15,15,0.012022318993316124,0.9854166666666667,15,0.1449045412389208,0.8515625
16,16,0.024095883867003447,0.9666666666666667,16,0.12892906048642772,0.846875
17,17,0.013289702377331498,0.984375,17,0.11456710754764003,0.859375
18,18,0.003119598923650339,0.9963541666666667,18,0.12046785194708279,0.8875
19,19,0.00223519337131061,0.9984375,19,0.1458162000036835,0.871875
20,20,0.0003686957733316139,0.9994791666666667,20,0.14929452035560814,0.8703125
21,21,0.0003390383685383765,1.0,21,0.17037363019172608,0.8765625
22,22,0.03559917592131929,0.9520833333333333,22,0.1205524362652568,0.8484375
23,23,0.02431993203950545,0.9723958333333333,23,0.09150267249378885,0.871875
24,24,0.013207171812181666,0.9859375,24,0.12940198418392912,0.878125
25,25,0.006491672374903601,0.9916666666666667,25,0.15225130606685514,0.8296875
26,26,0.002966538534769351,0.9953125,26,0.14428172376974913,0.8578125
27,27,0.020909922853639764,0.9697916666666667,27,0.11191239672687214,0.853125
28,28,0.008395815019296057,0.9885416666666667,28,0.14995481120953796,0.859375
29,29,0.011359617432723705,0.9885416666666667,29,0.13283581904198516,0.8640625
30,30,0.0030267972102612597,0.996875,30,0.12843057527827645,0.878125
31,31,0.0006661482275648704,1.0,31,0.1586950534755582,0.871875
32,32,0.0007366981419948182,1.0,32,0.15052969027290733,0.8578125
33,33,0.029792194754423205,0.9614583333333333,33,0.13841409166613952,0.8390625
34,34,0.010785178259863908,0.9890625,34,0.12344823111222887,0.865625
35,35,0.008844035310524608,0.990625,35,0.12590398579513556,0.8625
36,36,0.004096663269986796,0.9963541666666667,36,0.12894414460529363,0.853125
37,37,0.008796452879293308,0.9875,37,0.13581927328956941,0.85
38,38,0.008655668628313625,0.9890625,38,0.15121175092669503,0.825
39,39,0.0008425716966730335,0.9994791666666667,39,0.17731441663000885,0.8359375
